Nome                                   	Criação                     	Modificação                 	Localização
formatting.py                          	07/07/2023 - 17:09:51:609117	07/07/2023 - 17:09:51:610116	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\formatting.py
globals.py                             	07/07/2023 - 17:09:51:611116	07/07/2023 - 17:09:51:611116	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\globals.py
parser.py                              	07/07/2023 - 17:09:51:612115	07/07/2023 - 17:09:51:613115	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\parser.py
shell_completion.py                    	07/07/2023 - 17:09:51:615113	07/07/2023 - 17:09:51:616112	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\shell_completion.py
termui.py                              	07/07/2023 - 17:09:51:617113	07/07/2023 - 17:09:51:618112	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\termui.py
testing.py                             	07/07/2023 - 17:09:51:619111	07/07/2023 - 17:09:51:620109	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\testing.py
types.py                               	07/07/2023 - 17:09:51:621110	07/07/2023 - 17:09:51:622109	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\types.py
utils.py                               	07/07/2023 - 17:09:51:623108	07/07/2023 - 17:09:51:623108	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\utils.py
_compat.py                             	07/07/2023 - 17:09:51:596125	07/07/2023 - 17:09:51:596125	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\_compat.py
_termui_impl.py                        	07/07/2023 - 17:09:51:597125	07/07/2023 - 17:09:51:598124	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\_termui_impl.py
_textwrap.py                           	07/07/2023 - 17:09:51:599123	07/07/2023 - 17:09:51:600123	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\_textwrap.py
_winconsole.py                         	07/07/2023 - 17:09:51:601123	07/07/2023 - 17:09:51:602121	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\_winconsole.py
__init__.py                            	07/07/2023 - 17:09:51:594127	07/07/2023 - 17:09:51:595126	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\click\__init__.py
ansi.py                                	07/07/2023 - 17:03:57:251533	07/07/2023 - 17:03:57:252533	C:\Users\Windows\IdeaProjects\Buscador de Arquivos\venv\Lib\site-packages\colorama\ansi.py
